tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Type of Disease (Bacterial Blight/Telya),Anthracnose,Fruit Spot/ Rot,Fusarium Wilt,Fruit Borer / Blight Blora
25,35,6,1014,0.0,5,9.6,40,0,0,0,0,0
22,89,13,1005,2.26666666666666,1,3.8,85,0,0,1,1,0
28,22,8,1010,0.0,5,10.7,30,0,0,0,0,0
25,48,7,1014,0.0,5,9.6,44,0,0,0,0,0
32,28,7,1006,0.0333333333333333,5,11.2,34,0,0,0,0,0
23,25,6,1012,0.0,5,9.8,40,0,0,0,0,0
28,44,11,1010,0.0,5,11.2,30,0,0,0,0,0
33,25,10,1007,0.0,3,11.2,35,1,0,0,0,0
24,29,6,1013,0.0,5,9.6,45,0,0,0,0,0
26,82,3,1005,0.4333333333333329,1,9.1,60,1,0,1,0,1
27,70,11,1002,0.133333333333333,3,3.8,50,1,1,0,0,0
28,61,16,1003,0.0,3,6.2,45,1,1,0,0,0
32,21,8,1012,0.0,5,10.7,33,0,0,0,0,0
24,81,19,1005,0.33333333333333304,3,3.8,60,0,0,1,0,1
25,29,10,1015,0.0,4,9.7,40,0,0,0,0,0
25,34,10,1014,0.0333333333333333,5,10.1,42,0,0,0,0,0
30,51,16,1003,0.0,5,6.2,35,0,0,0,0,0
27,61,13,1005,0.0333333333333333,3,3.8,47,1,1,0,0,0
24,43,10,1013,0.0,5,9.7,42,0,0,0,0,0
19,37,7,1013,0.0,5,9.8,41,0,0,0,0,0
21,54,27,1008,0.2,3,9.6,40,0,0,0,0,0
32,13,6,1009,0.0,5,10.7,32,0,0,0,0,0
24,81,19,1007,0.133333333333333,3,3.9,65,0,0,1,1,1
26,64,24,1008,0.0333333333333333,3,6.2,45,1,1,0,0,0
33,25,10,1009,0.0,4,11.2,33,0,0,0,0,0
25,82,14,1008,0.133333333333333,3,3.9,54,1,0,0,0,1
25,42,12,1015,0.0,5,9.1,52,0,0,0,0,0
24,87,14,1008,0.0666666666666666,3,5.4,60,0,0,1,0,1
28,20,8,1011,0.0,5,10.1,45,0,0,0,0,0
24,81,18,1007,0.0333333333333333,3,3.8,50,0,0,0,0,1
31,19,7,1008,0.0,4,10.7,33,0,0,0,0,0
25,83,7,1007,0.4333333333333329,3,9.1,54,1,0,0,0,1
23,40,5,1014,0.0,5,9.8,42,0,0,0,0,0
32,33,20,1005,0.0,4,10.4,35,1,0,0,0,0
24,83,13,1004,0.0333333333333333,3,3.9,55,0,0,0,0,1
24,40,11,1013,0.0,5,9.6,43,0,0,0,0,0
27,16,8,1014,0.0,5,10.7,33,0,0,0,0,0
34,27,9,1007,0.0,5,10.4,31,0,0,0,0,0
32,31,13,1007,0.0,5,10.4,35,0,0,0,0,0
22,33,7,1014,0.0,5,9.6,42,0,0,0,0,0
32,34,9,1005,0.0,5,10.4,33,0,0,0,0,0
28,66,5,1000,0.6666666666666661,1,3.8,56,1,1,0,0,0
30,28,18,1006,0.0,5,11.2,33,0,0,0,0,0
27,36,4,1011,0.0,5,9.6,42,0,0,0,0,0
22,92,18,1002,2.46666666666666,1,3.8,65,0,0,1,0,1
24,88,7,1008,0.6,1,5.4,56,0,0,0,0,1
27,59,29,1006,0.0,4,10.4,45,1,1,0,0,0
30,22,4,1011,0.0,5,10.7,33,0,0,0,0,0
33,9,7,1011,0.0,5,10.7,34,0,0,0,0,0
25,29,4,1014,0.0,5,10.1,42,0,0,0,0,0
24,75,15,1008,0.133333333333333,3,3.9,55,0,0,0,0,0
30,35,15,1007,0.0,4,11.2,30,0,0,0,0,0
25,80,25,1004,0.0333333333333333,3,3.8,60,1,1,0,0,1
24,77,8,1009,0.0666666666666666,3,5.4,55,0,0,0,0,0
24,43,7,1013,0.0,5,9.8,41,0,0,0,0,0
23,88,26,1000,0.33333333333333304,1,3.8,62,0,0,1,0,1
26,57,4,1006,0.0,4,9.1,55,1,1,0,0,0
33,12,5,1011,0.0,5,10.7,33,0,0,0,0,0
25,78,19,1004,0.3,1,6.2,56,1,1,0,0,0
25,80,20,1002,0.133333333333333,3,6.2,56,1,1,0,0,1
30,46,20,1009,0.0,5,10.4,32,0,0,0,0,0
26,32,5,1013,0.0,5,10.1,41,0,0,0,0,0
25,28,9,1014,0.0,5,10.1,43,0,0,0,0,0
